序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
38,003036,泰坦股份,10.001845359802246,59.61,376924544,12911579350.95,12911910186.45,3.017301559448242,177327828,095203,095203,0,1/1,1,专用设备,20260831
39,002328,新朋股份,9.961190223693848,8.5,420150288,4850830116.0,6560045000.0,8.90122127532959,50253912,095330,095330,0,1/1,1,汽车零部,20260831
40,002830,名雕股份,9.972105979919434,15.77,84425527,1464000065.0,2931579920.0,5.925718307495117,71954788,095433,095433,0,1/1,1,装修装饰,20260831
41,002418,康盛股份,10.0,5.39,1474324288,6125196000.0,6125196000.0,25.617555618286133,134988512,095518,095518,0,5/4,1,家电零部,20260831
42,002921,联诚精密,9.99526309967041,23.22,220455995,2989717338.6,3459086348.94,7.5319600105285645,86404824,100324,100324,0,1/1,1,汽车零部,20260831
43,002141,贤丰控股,10.077519416809082,7.1,1038612832,7333844165.799999,7333844123.2,14.638821601867676,144130710,100451,100451,0,1/1,1,元件,20260831
44,603358,华达科技,10.0,49.72,635840560,22959236369.96,23355625539.84,2.8557686805725098,135829620,100601,100601,0,1/1,1,汽车零部,20260831
45,002881,美格智能,9.995100975036621,44.9,774107440,8217641104.0,13562996880.0,9.635420799255371,58154480,100745,130833,2,1/1,1,通信设备,20260831
46,600121,郑州煤电,10.089685440063477,4.91,596686928,5982403106.58,5982403077.12,10.462626457214355,40317502,100911,100911,0,1/1,1,煤炭开采,20260831
47,600722,金牛化工,10.019646644592285,16.8,2635581408,11429370556.800001,11429370624.0,23.680313110351562,99034320,101020,134059,1,2/2,2,化学原料,20260831
48,603559,中通国脉,10.02087688446045,10.54,435460496,4229459358.66,4229459327.0399995,10.773797035217285,27225874,101557,131430,3,2/2,2,通信服务,20260831
49,920223,荣亿精密,29.967159271240234,15.83,274904416,1292919207.5,2489821550.0,23.1768798828125,10567712,101742,144312,2,1/1,1,通用设备,20260831
50,603178,圣龙股份,9.981515884399414,17.85,350197840,4219952075.8500004,4219952075.8500004,8.413809776306152,13951560,101743,103352,3,1/1,1,汽车零部,20260831
51,002660,茂硕电源,9.973752975463867,8.38,215427689,2902431167.84,2988526014.0800004,7.591846942901611,51505776,101939,110942,1,1/1,1,消费电子,20260831
52,603685,晨丰科技,9.987516403198242,26.43,124654851,5324739693.21,6685483512.24,2.409001588821411,26784611,102022,102022,0,1/1,1,光学光电,20260831
