序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
7,600378,昊华科技,10.008254051208496,53.31,2975549760,57178459501.53,68769879528.96,5.205942630767822,431331956,092502,094526,3,2/2,2,化学制品,20260828
8,600654,中安科,10.0,3.63,423233984,8412277517.49,10328837080.32,5.031227111816406,125670948,092503,093321,1,2/2,2,软件开发,20260828
9,600540,新赛股份,10.0217866897583,5.05,26090416,2935953648.0,2935953648.0,0.8886521458625793,189528424,092503,092503,0,2/2,2,种植业,20260828
10,002631,德尔未来,10.0217866897583,10.1,963976608,8016267505.2,8052557088.0,12.116863250732422,25298954,093000,130818,9,1/1,1,家居用品,20260828
11,002742,冀衡医药,10.052909851074219,6.24,1345116192,3269267807.52,4268796779.52,41.97233581542969,41307196,093000,143857,3,10/5,4,化学制药,20260828
12,002354,天娱数科,9.943977355957031,7.85,718716592,12771901165.15,12988498718.4,5.627326488494873,529592768,093000,093000,0,1/1,1,广告营销,20260828
13,603900,莱绅通灵,9.943977355957031,7.85,175103011,2690382144.0,2691795144.0,6.508481025695801,62234800,093001,093001,0,2/2,2,饰品,20260828
14,300378,鼎捷数智,19.99359130859375,37.45,518327568,10093267916.900002,10169721867.2,5.182827949523926,99647709,093024,093024,0,1/1,1,软件开发,20260828
15,600551,时代出版,9.970674514770508,7.5,138324673,5085414292.5,5085414240.0,2.7304041385650635,33831150,093050,093302,1,1/1,1,出版,20260828
16,603269,海鸥股份,10.019841194152832,22.18,341607952,9580550968.2,9580550923.84,3.5946226119995117,64238314,093113,093228,1,2/2,2,通用设备,20260828
17,002279,久其软件,9.984399795532227,7.05,323045328,5612423029.65,6078558391.2,5.8414483070373535,122216685,093257,093257,0,1/1,1,软件开发,20260828
18,000017,深中华A,9.990394592285156,11.45,1253143472,5047411338.95,7891167425.599999,25.082805633544922,10069130,093300,144706,14,7/7,7,饰品,20260828
19,000059,华锦股份,10.079051971435547,5.57,539433632,8908730337.59,8908894970.08,6.132847309112549,7013844,093306,100851,1,1/1,1,炼化及贸,20260828
